estimate_year,index,IL_031,IL_037,IL_043,IL_063,IL_089,IL_093,IL_097,IL_111,IL_197,IN_073,IN_089,IN_111,IN_127,WI_059
2009-2013,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2009-2013,FILETYPE,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5
2009-2013,STATE,il,il,il,il,il,il,il,il,il,in,in,in,in,wi
2009-2013,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000
2009-2013,SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003
2009-2013,LOGRECNO,0000028,0000031,0000034,0000044,0000057,0000059,0000061,0000068,0000111,0000049,0000057,0000068,0000076,0000042
2009-2013,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050
2009-2013,STATE_FIPS,17,17,17,17,17,17,17,17,17,18,18,18,18,55
2009-2013,GEO_ID,05000US17031,05000US17037,05000US17043,05000US17063,05000US17089,05000US17093,05000US17097,05000US17111,05000US17197,05000US18073,05000US18089,05000US18111,05000US18127,05000US55059
2009-2013,GEO_NAME,"Cook County, Illinois","DeKalb County, Illinois","DuPage County, Illinois","Grundy County, Illinois","Kane County, Illinois","Kendall County, Illinois","Lake County, Illinois","McHenry County, Illinois","Will County, Illinois","Jasper County, Indiana","Lake County, Indiana","Newton County, Indiana","Porter County, Indiana","Kenosha County, Wisconsin"
2009-2013,B01003_1_total,5212372,104820,922803,50064,518380,116366,702099,308060,679688,33398,494250,14151,165168,166874
2009-2013,B01001_1_total,5212372,104820,922803,50064,518380,116366,702099,308060,679688,33398,494250,14151,165168,166874
2009-2013,B01001_2_male,2525379,51960,452525,24998,258379,57939,350411,153538,337682,16534,238642,7122,81185,82563
2009-2013,B01001_3_under_5_years,173983,3287,28624,1818,19468,4932,23047,9773,23654,1051,16640,366,4860,5451
2009-2013,B01001_4_5_to_9_years,165554,3136,31607,2165,20852,5488,26994,11694,28578,1092,18622,414,5879,5705
2009-2013,B01001_5_10_to_14_years,172759,3499,33208,1813,22202,5223,28453,12596,28769,1326,17335,558,5640,6498
2009-2013,B01001_6_15_to_17_years,107461,1839,21375,1118,12859,2972,17885,7817,17589,728,11187,306,3705,3914
2009-2013,B01001_7_18_and_19_years,71003,3073,12744,635,7128,1319,12498,4428,9875,518,6870,169,2427,2756
2009-2013,B01001_8_20_years,35654,1796,5751,400,2998,549,5828,2003,4564,433,3282,101,1115,1131
2009-2013,B01001_9_21_years,35195,2077,5365,396,3707,611,4743,1421,3966,142,3084,31,1268,1053
2009-2013,B01001_10_22_to_24_years,112879,3806,17315,640,9144,1738,13447,5177,11632,508,8785,272,2981,3606
2009-2013,B01001_11_25_to_29_years,214975,4287,30479,1458,16374,3641,20086,8232,18967,920,14752,402,4940,5153
2009-2013,B01001_12_30_to_34_years,201506,3374,29305,1764,17613,4579,20152,9012,21362,1080,15275,425,5162,5240
2009-2013,B01001_13_35_to_39_years,177771,2946,29570,1553,18092,5346,23570,10184,24424,953,14899,317,5597,5444
2009-2013,B01001_14_40_to_44_years,174736,2992,31658,2029,19678,4863,23846,12105,27460,1131,15245,543,5323,5816
2009-2013,B01001_15_45_to_49_years,171669,3213,34816,1952,19277,4031,27615,13382,27478,1150,16655,543,5559,6609
2009-2013,B01001_16_50_to_54_years,172674,3109,35955,1786,18204,3451,27576,12789,24734,1278,17916,583,6294,6451
2009-2013,B01001_17_55_to_59_years,151030,2722,31145,1556,15137,2988,22338,9667,19851,1053,16415,636,5876,5517
2009-2013,B01001_18_60_and_61_years,54215,871,11841,550,5499,1193,7958,3568,6676,404,5996,141,2327,1765
2009-2013,B01001_19_62_to_64_years,71397,1401,13961,794,6860,1140,10679,5020,8859,605,7509,255,2811,2246
2009-2013,B01001_20_65_and_66_years,38619,686,8337,472,4242,620,5406,2799,5144,252,4244,173,1691,1275
2009-2013,B01001_21_67_to_69_years,49669,814,9546,545,4502,806,6666,3021,5903,439,4827,206,1652,1429
2009-2013,B01001_22_70_to_74_years,61980,1144,11124,654,5634,1097,8356,3699,7514,643,7037,289,2561,2045
2009-2013,B01001_23_75_to_79_years,46173,867,7530,515,4025,598,5823,2489,4995,342,5172,200,1772,1450
2009-2013,B01001_24_80_to_84_years,35219,502,6009,301,2940,496,4047,1658,3218,300,3832,115,1024,1121
2009-2013,B01001_25_85_years_and_over,29258,519,5260,84,1944,258,3398,1004,2470,186,3063,77,721,888
2009-2013,B01001_26_female,2686993,52860,470278,25066,260001,58427,351688,154522,342006,16864,255608,7029,83983,84311
2009-2013,B01001_27_under_5_years,167960,3106,27570,1704,18874,4667,22147,9065,22762,1077,15906,412,4626,5171
2009-2013,B01001_28_5_to_9_years,163258,3047,31124,1841,20772,5135,25972,11105,27214,1537,17224,472,5319,5588
2009-2013,B01001_29_10_to_14_years,163922,3280,31337,1838,20173,5009,26713,12226,27198,996,17369,454,5766,6165
2009-2013,B01001_30_15_to_17_years,103499,1993,20245,1112,12018,2562,16736,7592,16678,690,10919,264,3481,3573
2009-2013,B01001_31_18_and_19_years,68662,3406,11492,551,6571,1300,9709,3893,8855,419,6449,192,2122,2574
2009-2013,B01001_32_20_years,34193,1725,5252,333,3635,674,4324,1260,3838,398,2892,90,1363,1166
2009-2013,B01001_33_21_years,36244,1762,5086,251,2745,526,3323,1731,3979,87,3187,82,1104,1172
2009-2013,B01001_34_22_to_24_years,115575,4150,15953,825,8345,1466,11572,4770,10688,571,9098,189,3050,3183
2009-2013,B01001_35_25_to_29_years,220684,3718,29352,1644,15749,3977,18762,7746,18648,799,15742,349,4920,5197
2009-2013,B01001_36_30_to_34_years,203500,3193,29289,1787,17495,5045,20606,8997,22404,1042,16364,359,5192,5319
2009-2013,B01001_37_35_to_39_years,182403,3022,29382,1437,18353,5610,23564,10243,25617,1037,15570,351,5275,5606
2009-2013,B01001_38_40_to_44_years,175913,2845,34065,2102,19348,4727,26079,12801,27941,1047,16482,466,5777,5743
2009-2013,B01001_39_45_to_49_years,178979,3255,37406,1783,19164,4025,28782,13607,27330,1176,17684,511,6116,6800
2009-2013,B01001_40_50_to_54_years,185491,3172,38322,1777,18156,3522,28478,12817,24747,1255,19439,546,6599,6460
2009-2013,B01001_41_55_to_59_years,169030,2846,33407,1562,14882,2799,23036,10147,20258,1218,17606,518,5981,5643
2009-2013,B01001_42_60_and_61_years,61322,886,12153,645,5955,1047,8475,3678,6711,345,6123,185,2225,1837
2009-2013,B01001_43_62_to_64_years,80996,1358,14926,633,7836,1539,10590,4655,9684,527,8565,298,3133,2172
2009-2013,B01001_44_65_and_66_years,47594,757,8678,474,4421,696,6119,2832,5675,371,5049,171,1779,1454
2009-2013,B01001_45_67_to_69_years,57277,1097,10696,579,5051,1087,7057,3573,6358,565,6281,227,2042,1636
2009-2013,B01001_46_70_to_74_years,83768,1217,13515,693,6821,1043,9433,3951,8696,500,8359,296,2562,2174
2009-2013,B01001_47_75_to_79_years,65845,1044,10860,465,5417,861,6901,2801,6416,478,7186,227,2095,1985
2009-2013,B01001_48_80_to_84_years,55525,889,8552,374,3598,544,6342,2236,4875,344,5987,149,1664,1934
2009-2013,B01001_49_85_years_and_over,65353,1092,11616,656,4622,566,6968,2796,5434,385,6127,221,1792,1759
2009-2013,B02001_1_total,5212372,104820,922803,50064,518380,116366,702099,308060,679688,33398,494250,14151,165168,166874
2009-2013,B02001_2_white_alone,2955886,87960,740739,47649,380303,97755,552805,279631,518956,32564,307902,13800,152665,145768
2009-2013,B02001_3_black_or_african_american_alone,1272312,6657,42553,654,28200,6650,47959,3669,74398,262,124958,29,5500,11655
2009-2013,B02001_4_american_indian_and_alaska_native_alone,12644,262,1601,22,1697,261,1411,506,1204,51,1578,15,446,559
2009-2013,B02001_5_asian_alone,336055,2536,95090,236,17948,3829,44741,8051,32041,57,6290,34,2279,2507
2009-2013,B02001_6_native_hawaiian_and_other_pacific_islander_alone,1105,36,343,0,100,0,300,38,126,0,387,13,49,29
2009-2013,B02001_7_some_other_race_alone,529889,4683,22073,843,79235,5001,36691,10699,36671,48,41007,41,1833,2799
2009-2013,B02001_8_two_or_more_races,104481,2686,20404,660,10897,2870,18192,5466,16292,416,12128,219,2396,3557
2009-2013,B02001_9_two_races_including_some_other_race,27400,763,3995,47,3112,850,3297,1209,3333,0,4433,1,298,675
2009-2013,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",77081,1923,16409,613,7785,2020,14895,4257,12959,416,7695,218,2098,2882
2009-2013,B11001_1_total,1933335,37844,336028,18082,170358,38075,241072,108852,222652,11924,182080,5374,61502,62560
2009-2013,B11001_2_family_households,1186609,22964,238824,12791,127489,29479,179071,82541,171130,9147,122309,3859,43450,41941
2009-2013,B11001_3_married-couple_family,797551,17981,194741,9928,99879,24562,143688,67534,137202,7605,82426,3056,33942,30397
2009-2013,B11001_4_other_family,389058,4983,44083,2863,27610,4917,35383,15007,33928,1542,39883,803,9508,11544
2009-2013,"B11001_5_male_householder,_no_wife_present",95207,1394,12429,831,9026,1434,9904,4592,10350,556,9480,300,2361,2933
2009-2013,"B11001_6_female_householder,_no_husband_present",293851,3589,31654,2032,18584,3483,25479,10415,23578,986,30403,503,7147,8611
2009-2013,B11001_7_nonfamily_households,746726,14880,97204,5291,42869,8596,62001,26311,51522,2777,59771,1515,18052,20619
2009-2013,B11001_8_householder_living_alone,620864,10855,82865,4408,35333,7106,52750,21677,43172,2508,52169,1321,15089,16553
2009-2013,B11001_9_householder_not_living_alone,125862,4025,14339,883,7536,1490,9251,4634,8350,269,7602,194,2963,4066
